"clave","entidad_federativa","clave_delito","delito","2022","2021","2020","2019"
NA,"Fiscalía General de la República",30403,"Violación - Violación equiparada en contra de menores e incapaces",7,4,NA,NA
NA,"Fiscalía General de la República",30404,"Violación - Otro tipo de violación",0,0,NA,NA
NA,"Fiscalía General de la República",30405,"Violación - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",30500,"Estupro",1,0,NA,NA
NA,"Fiscalía General de la República",30600,"Incesto",0,0,NA,NA
NA,"Fiscalía General de la República",30700,"Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,NA,NA
NA,"Fiscalía General de la República",40101,"Robo - Robo simple",6333,5402,NA,NA
NA,"Fiscalía General de la República",40102,"Robo - Robo a casa habitación",0,0,NA,NA
NA,"Fiscalía General de la República",40103,"Robo - Robo de vehículo",912,949,NA,NA
NA,"Fiscalía General de la República",40104,"Robo - Robo de autopartes",0,0,NA,NA
NA,"Fiscalía General de la República",40105,"Robo - Robo a transeúnte en vía pública",0,0,NA,NA
NA,"Fiscalía General de la República",40106,"Robo - Robo a transeúnte en espacio abierto al público",0,0,NA,NA
NA,"Fiscalía General de la República",40107,"Robo - Robo a persona en un lugar privado",0,0,NA,NA
NA,"Fiscalía General de la República",40108,"Robo - Robo a transportista",0,0,NA,NA
NA,"Fiscalía General de la República",40109,"Robo - Robo en transporte público individual",0,0,NA,NA
NA,"Fiscalía General de la República",40110,"Robo - Robo en transporte público colectivo",0,0,NA,NA
NA,"Fiscalía General de la República",40111,"Robo - Robo en transporte individual",0,0,NA,NA
NA,"Fiscalía General de la República",40112,"Robo - Robo a institución bancaria",0,0,NA,NA
NA,"Fiscalía General de la República",40113,"Robo - Robo a negocio",0,0,NA,NA
NA,"Fiscalía General de la República",40114,"Robo - Robo de ganado",1,1,NA,NA
NA,"Fiscalía General de la República",40115,"Robo - Robo de maquinaria",0,0,NA,NA
NA,"Fiscalía General de la República",40116,"Robo - Robo de energía eléctrica",1218,1638,NA,NA
NA,"Fiscalía General de la República",40117,"Robo - Otros robos",5137,4527,NA,NA
NA,"Fiscalía General de la República",40118,"Robo - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",40201,"Delitos en materia de hidrocarburos y sus derivados - Sustracción de hidrocarburos y sus derivados",1932,1712,NA,NA
NA,"Fiscalía General de la República",40202,"Delitos en materia de hidrocarburos y sus derivados - Aprovechamiento de hidrocarburos y sus derivados",617,556,NA,NA
NA,"Fiscalía General de la República",40203,"Delitos en materia de hidrocarburos y sus derivados - Posesión ilícita de hidrocarburos y sus derivados",1683,1942,NA,NA
NA,"Fiscalía General de la República",40204,"Delitos en materia de hidrocarburos y sus derivados - Otros delitos en materia de hidrocarburos y sus derivados",1988,1945,NA,NA
NA,"Fiscalía General de la República",40205,"Delitos en materia de hidrocarburos y sus derivados - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",40300,"Fraude",1411,1252,NA,NA
NA,"Fiscalía General de la República",40400,"Abuso de confianza",267,303,NA,NA
NA,"Fiscalía General de la República",40501,"Extorsión - Extorsión cometida por vía telefónica o cualquier otro medio electrónico o de comunicación",0,0,NA,NA
NA,"Fiscalía General de la República",40502,"Extorsión - Otro tipo de extorsión",161,228,NA,NA
NA,"Fiscalía General de la República",40503,"Extorsión - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",40600,"Daño a la propiedad",3229,2721,NA,NA
NA,"Fiscalía General de la República",40700,"Despojo",204,245,NA,NA
NA,"Fiscalía General de la República",40800,"Otros delitos que atentan contra el patrimonio",0,0,NA,NA
NA,"Fiscalía General de la República",50100,"Violencia familiar",89,41,NA,NA
NA,"Fiscalía General de la República",50200,"Incumplimiento de obligaciones familiares",0,0,NA,NA
NA,"Fiscalía General de la República",50300,"Otros delitos contra la familia",0,0,NA,NA
NA,"Fiscalía General de la República",60101,"Delitos contra el libre desarrollo de la personalidad - Corrupción de menores e incapaces",6,18,NA,NA
NA,"Fiscalía General de la República",60102,"Delitos contra el libre desarrollo de la personalidad - Prostitución de menores e incapaces",0,0,NA,NA
NA,"Fiscalía General de la República",60103,"Delitos contra el libre desarrollo de la personalidad - Pornografía infantil",29,25,NA,NA
NA,"Fiscalía General de la República",60104,"Delitos contra el libre desarrollo de la personalidad - Turismo sexual",0,0,NA,NA
NA,"Fiscalía General de la República",60105,"Delitos contra el libre desarrollo de la personalidad - Pederastia",90,42,NA,NA
NA,"Fiscalía General de la República",60106,"Delitos contra el libre desarrollo de la personalidad - Otros delitos contra el libre desarrollo de la personalidad",0,1,NA,NA
NA,"Fiscalía General de la República",60107,"Delitos contra el libre desarrollo de la personalidad - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",60201,"Trata de personas - Trata de personas con fines de explotación sexual",12,14,NA,NA
NA,"Fiscalía General de la República",60202,"Trata de personas - Trata de personas con fines de trabajo o servicios forzados",6,2,NA,NA
NA,"Fiscalía General de la República",60203,"Trata de personas - Trata de personas con fines de tráfico de órganos",2,0,NA,NA
NA,"Fiscalía General de la República",60204,"Trata de personas - Trata de personas con otros fines",32,49,NA,NA
NA,"Fiscalía General de la República",60205,"Trata de personas - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",60300,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,NA,NA
NA,"Fiscalía General de la República",60400,"Discriminación",187,105,NA,NA
NA,"Fiscalía General de la República",60500,"Lenocinio",2,2,NA,NA
NA,"Fiscalía General de la República",60600,"Otros delitos contra la sociedad",0,0,NA,NA
NA,"Fiscalía General de la República",70101,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión simple de narcóticos",123,179,NA,NA
NA,"Fiscalía General de la República",70102,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión con fines de comercio o suministro de narcóticos",0,0,NA,NA
NA,"Fiscalía General de la República",70103,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Comercio de narcóticos",346,415,NA,NA
NA,"Fiscalía General de la República",70104,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Suministro de narcóticos",0,0,NA,NA
NA,"Fiscalía General de la República",70105,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Otros delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo",143,121,NA,NA
NA,"Fiscalía General de la República",70106,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",70201,"Delitos federales contra la salud relacionados con narcóticos - Producción de narcóticos",86,113,NA,NA
NA,"Fiscalía General de la República",70202,"Delitos federales contra la salud relacionados con narcóticos - Transporte de narcóticos",1071,1563,NA,NA
NA,"Fiscalía General de la República",70203,"Delitos federales contra la salud relacionados con narcóticos - Tráfico de narcóticos",1122,1398,NA,NA
NA,"Fiscalía General de la República",70204,"Delitos federales contra la salud relacionados con narcóticos - Comercio de narcóticos",321,331,NA,NA
NA,"Fiscalía General de la República",70205,"Delitos federales contra la salud relacionados con narcóticos - Suministro de narcóticos",17,36,NA,NA
NA,"Fiscalía General de la República",70206,"Delitos federales contra la salud relacionados con narcóticos - Posesión de narcóticos",3044,3222,NA,NA
NA,"Fiscalía General de la República",70207,"Delitos federales contra la salud relacionados con narcóticos - Otros delitos federales contra la salud relacionados con narcóticos",258,358,NA,NA
NA,"Fiscalía General de la República",70208,"Delitos federales contra la salud relacionados con narcóticos - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",70300,"Evasión de presos",0,0,NA,NA
NA,"Fiscalía General de la República",70400,"Delitos en materia de armas y objetos prohibidos",3,1,NA,NA
NA,"Fiscalía General de la República",70500,"Delitos de delincuencia organizada",273,227,NA,NA
NA,"Fiscalía General de la República",70601,"Delitos en materia de armas, explosivos y otros materiales destructivos - Portación ilícita de armas",12049,11629,NA,NA
NA,"Fiscalía General de la República",70602,"Delitos en materia de armas, explosivos y otros materiales destructivos - Posesión ilícita de armas, cartuchos y cargadores",1742,1421,NA,NA
NA,"Fiscalía General de la República",70603,"Delitos en materia de armas, explosivos y otros materiales destructivos - Acopio ilícito de armas",90,63,NA,NA
NA,"Fiscalía General de la República",70604,"Delitos en materia de armas, explosivos y otros materiales destructivos - Tráfico ilícito de armas, explosivos y otros materiales destructivos",52,61,NA,NA
NA,"Fiscalía General de la República",70605,"Delitos en materia de armas, explosivos y otros materiales destructivos - Otros delitos en materia de armas, explosivos y otros materiales destructivos",420,347,NA,NA
NA,"Fiscalía General de la República",70606,"Delitos en materia de armas, explosivos y otros materiales destructivos - No identificado",0,0,NA,NA
NA,"Fiscalía General de la República",70700,"Asociación delictuosa",28,20,NA,NA
NA,"Fiscalía General de la República",70800,"Terrorismo",6,12,NA,NA
NA,"Fiscalía General de la República",70900,"Otros delitos contra la seguridad pública y la seguridad del Estado",0,0,NA,NA
NA,"Fiscalía General de la República",80101,"Delitos por hechos de corrupción - Ejercicio indebido del servicio público",931,806,NA,NA
NA,"Fiscalía General de la República",80102,"Delitos por hechos de corrupción - Abuso de autoridad",796,667,NA,NA
